0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:09 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:09 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:11 +0200] "POST /Proyect/servletpedido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:11 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:11 +0200] "GET /Proyect/servletUsuar?ejecutar=listarInactivos HTTP/1.1" 200 12638
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:11 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:14 +0200] "GET /Proyect/servletdashboa HTTP/1.1" 200 8347
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:14 +0200] "GET /Proyect/css/estilos.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:14 +0200] "GET /Proyect/image/programador.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:14 +0200] "GET /Proyect/image/kyc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:14 +0200] "GET /Proyect/image/productos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:22 +0200] "GET /Proyect/servletdashboa HTTP/1.1" 200 8347
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:22 +0200] "GET /Proyect/css/estilos.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:25 +0200] "GET /Proyect/servletpedido?ejecutar=listarNuevo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:25 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:25 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:28 +0200] "POST /Proyect/servletpedido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:28 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:28 +0200] "GET /Proyect/servletclient?ejecutarClientes=listar&incial= HTTP/1.1" 200 21188
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:28 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "POST /Proyect/servletclient HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/servletclient?ejecutarClientes=listar&incial= HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/alerta/alertify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/alerta/themes/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/alerta/alertify.js HTTP/1.1" 304 -
